Year,Indicator Name,Indicator Code,Value
2022,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1461.4
2021,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1461.4
2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2838.09
2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1803.55
2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1312.52
2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1119.42
2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1597.65
2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1502.45
2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1968.04
2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1381.42
2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2676.12
2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,3345.09
2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2748.57
2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2970.1
2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,4221.35
2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2836.46
2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2571.08
2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2543.21
2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2406.46
2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2339.65
2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2703.38
2001,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2437.02
2000,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2513.89
1999,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,3058.09
1998,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2273.09
1997,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2515.22
1996,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2222.84
1995,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2291.4
1994,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2891.56
1993,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2505.99
1992,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2550.44
1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,3214.11
1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1877.19
1989,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,3077.56
1988,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,3186.15
